adcode,province,city,name,suit,reason
210505,辽宁,本溪市,南芬区,高度适宜,地理标志“南芬虹鳟鱼”核心区，山泉冷泉水周年水温≤20℃，溶氧高，已形成苗种—成鱼产业链。
210521,辽宁,本溪市,本溪满族自治县,高度适宜,太子河上游及支流山溪、山泉密布，是本溪冷水鱼主产县之一。
210624,辽宁,丹东市,宽甸满族自治县,高度适宜,鸭绿江右岸及蒲石河、半拉江等支流冷水资源丰富，远离辽河平原高温带。
210522,辽宁,本溪市,桓仁满族自治县,适宜,山泉溪流适宜流水养鳟；但桓仁水库、凤鸣水库属大伙房水源一级保护区，库区禁止投饲养殖。
210682,辽宁,丹东市,凤城市,适宜,叆河上游山溪水温偏低、水质较好，可发展山泉流水养殖。
210323,辽宁,鞍山市,岫岩满族自治县,适宜,大洋河上游山地溪流具备冷水条件，夏季干流中下游需防范升温。
210502,辽宁,本溪市,平山区,适宜,太子河河谷山泉及观音阁坝下冷水带，城区段需避让水源与防洪区。
210503,辽宁,本溪市,溪湖区,适宜,山地侵蚀地貌，局部山泉可用于设施/流水养殖。
210504,辽宁,本溪市,明山区,适宜,太子河沿岸山溪，与南芬、本溪县冷水鱼产业带相连。
211223,辽宁,铁岭市,西丰县,适宜,吉林哈达岭余脉，清河上游山溪冷凉，可发展小规模流水养鳟。
210421,辽宁,抚顺市,抚顺县,条件适宜,东部山地有冷溪，但紧邻大伙房水库汇水，投饲养殖受水源地约束。
210422,辽宁,抚顺市,新宾满族自治县,条件适宜,苏子河上游冷水资源较好，整体位于大伙房水源汇水区，限制投饲型养殖。
210423,辽宁,抚顺市,清原满族自治县,条件适宜,浑河、清河源区山溪水温适宜，但属大伙房水源保护区，以生态渔业和汇水区外山泉为宜。
211204,辽宁,铁岭市,清河区,条件适宜,清河水库为城市水源，库区限制网箱；坝下及外围山溪可有条件利用。
210283,辽宁,大连市,庄河市,条件适宜,碧流河上游山溪有冷水，但碧流河水库为大连饮用水源，库区及一级保护区禁养。
210881,辽宁,营口市,盖州市,条件适宜,东部山地溪流局部可养，夏季平原河段偏暖。
211422,辽宁,葫芦岛市,建昌县,条件适宜,辽西山地有涌泉，水量与夏季高温是主要限制。
211382,辽宁,朝阳市,凌源市,条件适宜,努鲁儿虎山溪泉，适宜小规模，干旱年水量不稳。
211005,辽宁,辽阳市,弓长岭区,条件适宜,可利用汤河/太子河水库底层或坝下低温水，库区本身多属水源或限养。
211021,辽宁,辽阳市,辽阳县,条件适宜,东部低山有冷溪，西部平原夏季水温偏高。
210604,辽宁,丹东市,振安区,条件适宜,叆河中游，春秋适宜、盛夏干流易超20℃。
210411,辽宁,抚顺市,顺城区,限制主导,大伙房水库坝下及城市水源影响区，禁止投饲型大水面养殖。
