id,name,province,city,county,lon,lat,water,t_summer,t_winter,suit,mode,protect,note
LN-01,南芬杨木沟山泉养殖带,辽宁,本溪市,南芬区,123.82,41.1,山泉溪流,12–18,4–8,高度适宜,流水池塘/设施循环水,无重大水源一级约束,地理标志保护范围覆盖南芬区5个街道；地方标准要求周年水温不超过20℃。
LN-02,太子河上游山溪（本溪县）,辽宁,本溪市,本溪满族自治县,124.12,41.3,山泉溪流,12–18,0–4,高度适宜,流水池塘,避开观音阁水库一级保护区,本溪全市可利用冷水养殖水面约860亩，本溪县为主要拓展区。
LN-03,观音阁水库坝下冷水带,辽宁,本溪市,本溪满族自治县,124.27,41.29,水库坝下/底层水,10–16,2–6,适宜,流水池塘,库区多承担供水，坝下可利用低温尾水,符合SC/T 1030.6关于发电型水库下游冷水区网箱/流水养殖的技术逻辑。
LN-04,桓仁山泉支流（非库区）,辽宁,本溪市,桓仁满族自治县,125.36,41.27,山泉溪流,12–18,1–5,适宜,流水池塘/设施,须在水源保护区外选址,与库区禁养政策并存，宜“库内退出、山泉转入”。
LN-05,桓仁水库（浑江）,辽宁,本溪市,桓仁满族自治县,125.42,41.28,湖库大水面,18–24（表层）,分层底层<8,限制主导,禁止投饲网箱；仅允许生态增殖,大伙房水源一级保护区，面积约8075公顷,担负辽宁7市约2300万人供水，规划明确库区为禁养。
LN-06,凤鸣水库及桓仁坝下输水河道,辽宁,本溪市,桓仁满族自治县,125.35,41.22,湖库大水面,16–22,2–6,限制主导,禁止养殖,浑江输水河道一级保护区，约20.5 km,桓仁坝下至凤鸣坝上水体划入一级保护区。
LN-07,蒲石河—宽甸山溪,辽宁,丹东市,宽甸满族自治县,124.78,40.73,山泉溪流,13–19,0–4,高度适宜,流水池塘,避让鸭绿江口湿地与边境敏感段,辽东山地降水丰沛，是辽宁除本溪外最重要的冷水潜力区。
LN-08,叆河上游（凤城）,辽宁,丹东市,凤城市,124.07,40.52,山泉溪流,14–20,0–4,适宜,流水池塘,中下游城市段不宜,宜布局在凤凰山以北山地乡镇。
LN-09,大伙房水库,辽宁,抚顺市,顺城区,124.08,41.88,湖库大水面,20–26（表层）,分层,限制主导,禁止投饲养殖,辽宁中部城市群饮用水源,保护区含水库、桓仁水库及其汇水、两条输水河道。
LN-10,苏子河上游（新宾）,辽宁,抚顺市,新宾满族自治县,125.04,41.73,山泉溪流,13–19,0–4,条件适宜,汇水区外流水/循环水,大伙房汇水区，限制投饲,冷水资源与水源保护叠加，优先发展尾水零排放设施渔业。
LN-11,浑河源区（清原）,辽宁,抚顺市,清原满族自治县,124.92,42.1,山泉溪流,12–18,0–4,条件适宜,设施循环水,大伙房汇水区,水温条件好，环境准入严。
LN-12,大洋河上游（岫岩）,辽宁,鞍山市,岫岩满族自治县,123.28,40.32,山泉溪流,14–20,0–4,适宜,流水池塘,避开县城饮用水源地,辽南山地冷水带南缘，盛夏需监测。
LN-13,清河水库,辽宁,铁岭市,清河区,124.16,42.54,湖库大水面,20–25,分层,限制主导,生态增殖,城市饮用水源,西丰县山溪比库区更适合虹鳟。
LN-14,碧流河水库,辽宁,大连市,庄河市,122.5,39.82,湖库大水面,22–26,分层,限制主导,禁止投饲,大连市饮用水源,仅上游山溪在保护区外有条件发展。
JL-01,江源湾沟山泉良种场,吉林,白山市,江源区,126.8,42.05,山泉溪流,9–14（8–10月实测9.2–13.8）,1–6,高度适宜,流水池塘/苗种孵化,无水源一级冲突,山泉水温常年1–17℃；吉林省水科院三倍体幼鱼试验点a。
JL-02,长白十五道沟冷水鱼场,吉林,白山市,长白朝鲜族自治县,128.2,41.42,山泉溪流,7.7–12.4（8–10月）,1–5,高度适宜,流水池塘,避让长白山保护区核心区,试验点b，溶氧7.8–11.3 mg/L，鸭绿江上游。
JL-03,抚松松花江源山溪,吉林,白山市,抚松县,127.28,42.33,山泉溪流,8–15,1–5,高度适宜,流水池塘,长白山保护区外围需特许,东部冷水鱼重点县，山泉水养三倍体虹鳟。
JL-04,靖宇矿泉—山溪及实验网箱,吉林,白山市,靖宇县,126.81,42.39,山泉/湖库,8–16,2–6,高度适宜,流水 + 有限生态网箱试验,矿泉源地与饮用水源需避让,已招标三倍体虹鳟大水面生态网箱实验。
JL-05,临江鸭绿江支流,吉林,白山市,临江市,126.92,41.81,山泉溪流,10–16,0–4,高度适宜,流水池塘,边境河流管理,与长白、江源构成鸭绿江右岸冷水鱼走廊。
JL-06,二道白河（安图）,吉林,延边朝鲜族自治州,安图县,128.2,42.45,山泉溪流,6–14,1–5,高度适宜,流水池塘,长白山国家公园/保护区核心区禁止,宜在二道白河镇以下、保护区外选址。
JL-07,敦化牡丹江上游,吉林,延边朝鲜族自治州,敦化市,128.23,43.37,山泉溪流,10–16,0–4,适宜,流水池塘,避让城市水源,连接吉林东部与黑龙江牡丹江冷水鱼带。
JL-08,海兰江上游（和龙）,吉林,延边朝鲜族自治州,和龙市,129.01,42.54,山泉溪流,11–17,0–4,适宜,流水池塘,一般,白山、延边流水池塘已达约14万平方米。
JL-09,通化浑江山溪,吉林,通化市,通化县,125.94,41.68,山泉溪流,12–18,0–4,适宜,流水/循环水,桓仁水库上游汇水，控制排污,辽吉协同共治浑江，投饲尾水须达标。
JL-10,集安新开河—鸭绿江山溪,吉林,通化市,集安市,126.18,41.12,山泉溪流,13–19,0–4,适宜,流水池塘,世界遗产地周边限制,山溪优于干流敞水。
JL-11,桦甸白山湖—红石区间支流,吉林,吉林市,桦甸市,127.0,42.97,山泉/水库坝下,支流10–16；库表18–23,2–6,适宜,支流流水；库区生态增殖,松花江梯级与三湖保护,不要在库区恢复投饲网箱。
JL-12,松花湖（丰满水库）,吉林,吉林市,丰满区,126.75,43.7,湖库大水面,20–25（表层）,冰封/底层冷,限制主导,净水渔业（鲢鳙），禁止投饲拦网/网箱,丰满水库饮用水水源保护区（2025年批复）,2019年拆除115处拦网；一级保护区取水口半径500 m。
JL-13,辉南龙湾山溪,吉林,通化市,辉南县,126.38,42.68,火山口湖/山溪,8–16,2–6,条件适宜,保护地外流水养殖,龙湾国家级自然保护区核心区禁养,水温极佳，空间受保护地切割。
HL-01,宁安渤海钻心湖（镜心湖）,黑龙江,牡丹江市,宁安市,129.05,44.13,涌泉/小型湖沼,8–14,4–8（-30℃气温仍不冻）,高度适宜,流水池塘/良种场,地理标志产地，需保护泉源,1959年中国虹鳟落户地；2013年农产品地理标志；保护范围约10468公顷。
HL-02,镜泊湖,黑龙江,牡丹江市,宁安市,128.93,43.87,湖库大水面,16–22,冰封,限制主导,生态增殖、休闲渔业,风景名胜区/自然保护地，限制投饲网箱,以红尾、鲢鳙增殖为主，虹鳟主养应放在钻心湖山泉系统。
HL-03,海林莲花湖虹鳟网箱区,黑龙江,牡丹江市,海林市,129.52,45.4,湖库大水面,表层16–22，底层更冷,冰封,适宜,深水网箱（试验示范）,莲花水电库区，密度须≤水域面积0.2%,2025年首次虹鳟网箱，宣称生长周期可缩短约50%；须严控投饲污染。
HL-04,海林张广才岭山溪,黑龙江,牡丹江市,海林市,129.2,44.7,山泉溪流,8–16,0–4,高度适宜,流水池塘,一般,与莲花湖形成“山溪育种+湖库养成”结构。
HL-05,穆棱河上游,黑龙江,牡丹江市,穆棱市,130.53,44.59,山泉溪流,10–16,0–4,适宜,流水池塘,一般,老爷岭西侧林区。
HL-06,绥芬河山溪（东宁）,黑龙江,牡丹江市,东宁市,131.12,44.06,山泉溪流,11–17,0–4,适宜,流水池塘,跨境河流,水质好，规模受河谷耕地限制。
HL-07,亚布力—尚志山溪,黑龙江,哈尔滨市,尚志市,128.47,45.21,山泉溪流,9–16,0–4,适宜,流水池塘/休闲渔业,避让滑雪旅游水源,可与冰雪旅游形成“冷水鱼+文旅”配套。
HL-08,五常拉林河上游,黑龙江,哈尔滨市,五常市,127.5,44.7,山泉溪流,12–18,0–4,适宜,流水池塘,避让水稻灌区退水,山地乡镇优于平原稻区。
HL-09,伊春友好—上甘岭冷水鱼基地,黑龙江,伊春市,友好区,128.84,47.85,山泉溪流,8–16,0–4,高度适宜,标准化池塘/设施,一般,友好区冷水鱼养殖面积约1100亩；品种含细鳞、鳌花等，具备虹鳟扩展条件。
HL-10,汤旺河上游,黑龙江,伊春市,汤旺县,129.25,48.45,山泉溪流,7–15,0–4,高度适宜,流水池塘,森林生态红线,小兴安岭最典型的冷水走廊之一。
HL-11,五大连池山口湖,黑龙江,黑河市,五大连池市,126.2,48.7,湖库大水面,14–20,冰封,适宜,暂养/生态网箱（规划）,与风景区水体隔离,规划养殖黑斑狗鱼、虹鳟、细鳞，打造北方冷水鱼示范场。
HL-12,沾河（逊克）,黑龙江,黑河市,逊克县,128.4,48.5,山泉溪流,8–16,0–4,适宜,流水池塘,避让自然保护地,土著冷水鱼本底好，可虹鳟与细鳞并养。
HL-13,黑龙江干流（同江—抚远）,黑龙江,佳木斯市,同江市,132.52,47.65,江河干流,16–22,冰封,条件适宜,设施渔业/土著冷水鱼,三江保护区、跨境河流,政策口的“冷水渔业”外延宽，虹鳟不是干流最优品种。
HL-14,呼玛河,黑龙江,大兴安岭地区,呼玛县,126.65,51.73,山泉溪流,8–16,超长冰封,条件适宜,季节性/土著冷水鱼,一般,积温不足限制虹鳟周年生长。
